ft_feature,matched_pre_code_feature,decoder_cosine_similarity_to_pre_code,firing_rate,max_activation
1494,100,0.10986895,0.06968,0.62334305
1090,1852,0.11017827,0.01634,0.6201708
3932,6,0.110797234,0.00298,0.5634238
3668,1690,0.11102818,0.00404,0.508663
2092,2762,0.112306714,0.0055,0.68349624
334,3633,0.11272545,0.07828,0.5811721
926,922,0.11347458,0.06188,0.5445892
1413,3418,0.11394507,0.01188,0.5707471
870,3448,0.114138156,0.01058,0.5208411
3027,1755,0.114674546,0.0036,0.9321333
1530,2899,0.11480451,0.00698,0.6311274
3651,3167,0.1149611,0.01294,0.58721346
3328,1450,0.115082815,0.00348,0.7574533
234,2975,0.11584037,0.01002,0.5761037
3160,902,0.11595224,0.0232,0.52646554
1613,3015,0.116059005,0.00414,0.5227849
203,523,0.11610939,0.016,0.8960101
982,2923,0.116603,0.02028,0.5696383
173,3951,0.11674489,0.02588,0.52554953
3942,2787,0.116864204,0.0237,0.59629804
2451,653,0.1171042,0.0069,0.5166215
2958,3694,0.11713216,0.00276,0.5190526
3534,2561,0.1173628,0.05172,1.6415123
2325,2440,0.11746953,0.01536,1.5163836
3049,3901,0.117502406,0.03922,7.669583
4082,2117,0.11755961,0.0157,0.52076715
3247,3240,0.11760307,0.00454,0.5374514
3355,1624,0.11763118,0.01434,3.6697867
420,2206,0.11786237,0.01704,0.5571628
892,3055,0.117887944,0.01018,1.101979
2413,2531,0.11839503,0.03118,0.5534209
289,1198,0.1184602,0.03488,4.78935
1026,1967,0.118491456,0.00274,0.7210172
3592,3589,0.118776955,0.04562,0.5829377
1207,1280,0.11885278,0.02684,0.52161306
2339,1533,0.11901258,0.00292,0.50832385
2910,2735,0.11923215,0.00914,0.5099511
3666,315,0.11925796,0.00294,0.614627
2423,130,0.11926377,0.03142,0.72543555
1080,1547,0.119264446,0.00336,0.66951865
3378,3997,0.119290866,0.01358,0.5592802
2452,3974,0.11940365,0.0046,0.5178012
2759,1619,0.11954639,0.04384,0.60482687
1734,2613,0.11963852,0.0382,0.564175
324,55,0.12014428,0.0293,0.6012248
582,1061,0.12017159,0.0419,0.559629
2766,440,0.12017164,0.00292,0.51583445
2691,2669,0.12027982,0.06876,0.6332581
1308,2316,0.1204409,0.00966,0.6736459
29,2807,0.12076694,0.00294,0.5626658
3640,1287,0.12083296,0.05226,0.7444844
963,1756,0.12084694,0.00262,0.54343843
1969,1416,0.121013924,0.03798,0.59682095
3801,2002,0.12106012,0.00712,0.5143815
1283,3678,0.12113225,0.00442,0.52033126
1785,3988,0.12115355,0.01244,0.64349765
837,3518,0.12130277,0.0111,3.2218738
3957,3034,0.12138167,0.04356,0.6011212
3624,6,0.12141897,0.0074,2.4045346
3059,605,0.1215197,0.01934,3.0124714
424,3732,0.12156853,0.0049,0.610268
3918,3680,0.121836364,0.02278,8.538703
714,247,0.12189399,0.0102,4.295602
1573,2821,0.12194097,0.03724,0.51036537
3874,1890,0.121965185,0.00226,0.5593257
713,2583,0.121980056,0.01264,1.0162958
972,17,0.12198846,0.00278,2.486611
16,1121,0.12202402,0.00476,0.58136153
2348,3526,0.12217462,0.01316,2.958026
280,263,0.122191206,0.00204,0.5998483
3514,2747,0.12231074,0.03196,1.0835081
2299,3446,0.12234776,0.05272,2.719783
2680,3946,0.122521825,0.0041,0.54860336
3958,3884,0.12268191,0.01072,0.7214565
1119,3113,0.12272942,0.02638,0.6201038
1926,2956,0.122873396,0.07598,6.7158594
2030,2235,0.12287879,0.0113,12.39612
1155,3540,0.122892715,0.00782,0.8483138
162,399,0.12292014,0.01396,0.5828696
1115,2735,0.12316573,0.01424,2.6389775
1988,4049,0.12317744,0.00996,0.97141033
3525,1799,0.123305306,0.08086,0.5022697
86,2970,0.123321034,0.01274,1.1390159
3165,944,0.12337463,0.00518,0.74320406
3513,1393,0.12343289,0.01,0.551465
2390,2387,0.12348153,0.00208,0.51698005
3405,3589,0.123499036,0.00628,0.58772945
1195,3084,0.12353,0.0254,2.4111168
3490,2813,0.12367614,0.02098,1.7656931
523,2265,0.12372478,0.00262,0.579601
3002,1591,0.12392771,0.0031,0.51522064
3383,2836,0.12412407,0.0495,0.6070806
3371,3759,0.12413342,0.01432,0.5029258
613,1624,0.124230415,0.01334,1.7862762
899,1275,0.12428606,0.08022,1.4173857
1791,2190,0.12441257,0.05172,0.7071222
3453,147,0.12442537,0.0023,0.5161165
1700,2952,0.124555334,0.0053,0.62015593
1762,742,0.124567844,0.03164,0.63658094
638,176,0.12462938,0.01246,2.238006
2464,42,0.12468471,0.01026,0.67042094
2264,3455,0.124781564,0.01058,0.60520697
799,2062,0.12479954,0.02394,0.5255918
1309,2513,0.12479974,0.05276,3.0373683
3882,885,0.1248589,0.00264,0.5447646
696,2596,0.12496422,0.01104,0.5383054
2665,1690,0.1250211,0.01298,0.93392485
1677,175,0.12507215,0.01604,0.6083059
2219,283,0.12534046,0.00406,0.5744006
2034,3244,0.12542199,0.04548,0.54630697
2236,2221,0.12555602,0.05256,0.5930201
1699,3268,0.12559502,0.00248,0.5555277
4007,3210,0.12564488,0.02388,0.6743117
731,2998,0.12570947,0.01854,4.7728343
2925,1287,0.12571806,0.02202,0.68972236
402,1399,0.12596181,0.03804,2.990294
469,3343,0.1260196,0.0026,0.53874415
2654,2244,0.12623316,0.00378,0.5154907
3607,1003,0.12625085,0.0041,0.58913976
3849,1787,0.12625304,0.01522,0.5399558
2349,2797,0.12628978,0.0077,0.6397402
1100,1865,0.12631921,0.03846,0.5868189
603,3247,0.1263851,0.00304,0.5869298
