ft_feature,matched_baseline_feature,decoder_cosine_similarity_to_baseline,status
0,651,0.18194726,possibly_new
1,1365,0.12706831,possibly_new
2,2894,0.13501175,possibly_new
3,410,0.118092,possibly_new
4,3848,0.1453462,possibly_new
5,2469,0.1282383,possibly_new
6,352,0.12583372,possibly_new
7,732,0.13209066,possibly_new
8,723,0.116639115,possibly_new
9,301,0.16823226,possibly_new
10,2366,0.13693036,possibly_new
11,3841,0.1421459,possibly_new
12,3440,0.14815101,possibly_new
13,780,0.13160434,possibly_new
14,858,0.12971726,possibly_new
15,2917,0.13746026,possibly_new
16,1036,0.14011538,possibly_new
17,1279,0.1444313,possibly_new
18,2277,0.122139454,possibly_new
19,3686,0.13664845,possibly_new
20,2161,0.119810164,possibly_new
21,501,0.12989575,possibly_new
22,2992,0.20024231,possibly_new
23,387,0.43395275,possibly_new
24,546,0.12760338,possibly_new
25,2832,0.14138857,possibly_new
26,3058,0.12469995,possibly_new
27,2602,0.13463897,possibly_new
28,3103,0.12922479,possibly_new
29,1852,0.1252187,possibly_new
30,1455,0.12920806,possibly_new
31,2381,0.116984926,possibly_new
32,1658,0.12064391,possibly_new
33,199,0.13026242,possibly_new
34,1924,0.13422547,possibly_new
35,2960,0.114305,possibly_new
36,3683,0.11862017,possibly_new
37,832,0.12460218,possibly_new
38,1503,0.11502228,possibly_new
39,1234,0.1282768,possibly_new
40,1142,0.12561831,possibly_new
41,2007,0.12504496,possibly_new
42,4014,0.137267,possibly_new
43,68,0.12104391,possibly_new
44,1216,0.12728195,possibly_new
45,3135,0.13161646,possibly_new
46,810,0.112357855,possibly_new
47,1727,0.14454292,possibly_new
48,896,0.12419693,possibly_new
49,3371,0.12508503,possibly_new
50,4086,0.13259646,possibly_new
51,3208,0.13059187,possibly_new
52,2517,0.14299765,possibly_new
53,3782,0.123330064,possibly_new
54,2515,0.13577765,possibly_new
55,2260,0.14648707,possibly_new
56,3798,0.12708595,possibly_new
57,799,0.18472785,possibly_new
58,2904,0.13876876,possibly_new
59,3853,0.1221436,possibly_new
60,942,0.13511202,possibly_new
61,1439,0.13620186,possibly_new
62,1453,0.14802727,possibly_new
63,2688,0.12330903,possibly_new
64,1878,0.12194014,possibly_new
65,1226,0.14465576,possibly_new
66,2545,0.13685599,possibly_new
67,3184,0.13565046,possibly_new
68,3491,0.122488715,possibly_new
69,344,0.19038439,possibly_new
70,58,0.17386222,possibly_new
71,3660,0.12188571,possibly_new
72,1476,0.13329688,possibly_new
73,3584,0.13887459,possibly_new
74,2572,0.1474399,possibly_new
75,3862,0.12224591,possibly_new
76,3140,0.15061086,possibly_new
77,1358,0.12480712,possibly_new
78,4070,0.14754328,possibly_new
79,926,0.13482055,possibly_new
80,3217,0.11260903,possibly_new
81,3548,0.14794901,possibly_new
82,39,0.14246467,possibly_new
83,2766,0.12748398,possibly_new
84,3122,0.17128015,possibly_new
85,1769,0.12502909,possibly_new
86,2326,0.161051,possibly_new
87,1854,0.124043494,possibly_new
88,1961,0.13583755,possibly_new
89,3234,0.11626029,possibly_new
90,3615,0.19733936,possibly_new
91,2116,0.12861028,possibly_new
92,3889,0.27737904,possibly_new
93,846,0.14066598,possibly_new
94,3579,0.16328396,possibly_new
95,1453,0.1351142,possibly_new
96,1619,0.13500439,possibly_new
97,55,0.15271966,possibly_new
98,2398,0.124086894,possibly_new
99,3634,0.13688958,possibly_new
100,3856,0.13410409,possibly_new
101,3768,0.12637714,possibly_new
102,2039,0.137523,possibly_new
103,1255,0.15779077,possibly_new
104,756,0.11953566,possibly_new
105,2018,0.1168658,possibly_new
106,277,0.13201693,possibly_new
107,1383,0.11563987,possibly_new
108,1506,0.18318957,possibly_new
109,1515,0.14339465,possibly_new
110,1385,0.12352654,possibly_new
111,2973,0.15403333,possibly_new
112,1912,0.14408694,possibly_new
113,242,0.13313608,possibly_new
114,3432,0.136405,possibly_new
115,1352,0.14331272,possibly_new
116,2735,0.121921435,possibly_new
117,111,0.13407734,possibly_new
118,3943,0.14972015,possibly_new
119,494,0.12005976,possibly_new
120,2942,0.16506675,possibly_new
121,2109,0.24715953,possibly_new
122,2002,0.11823079,possibly_new
123,3448,0.13446152,possibly_new
124,293,0.45081222,possibly_new
125,796,0.12909994,possibly_new
126,1979,0.19092616,possibly_new
127,2347,0.16719186,possibly_new
128,3546,0.16653472,possibly_new
129,3198,0.13956559,possibly_new
130,652,0.12859513,possibly_new
131,3520,0.12966351,possibly_new
132,2742,0.12612793,possibly_new
133,1644,0.123794466,possibly_new
134,3680,0.16502164,possibly_new
135,2408,0.30014527,possibly_new
136,3032,0.12876502,possibly_new
137,1936,0.1339045,possibly_new
138,559,0.12692223,possibly_new
139,2946,0.12643103,possibly_new
140,237,0.1318661,possibly_new
141,1768,0.14677249,possibly_new
142,1773,0.12985888,possibly_new
143,384,0.1454049,possibly_new
144,1957,0.13365145,possibly_new
145,3646,0.14178106,possibly_new
146,2369,0.117001176,possibly_new
147,3638,0.11879121,possibly_new
148,4051,0.12814888,possibly_new
149,2157,0.13515383,possibly_new
150,1210,0.11991586,possibly_new
151,780,0.13105378,possibly_new
152,648,0.2350679,possibly_new
153,1576,0.3589973,possibly_new
