pretrained_code_feature,matched_finetuned_code_feature,decoder_cosine_similarity,status,prototype_status
1144,724,0.1055647,changed,strongly_changed_or_unmatched
2777,932,0.105977856,changed,strongly_changed_or_unmatched
1780,3486,0.10697414,changed,strongly_changed_or_unmatched
2982,231,0.107161984,changed,strongly_changed_or_unmatched
3727,3582,0.10721979,changed,strongly_changed_or_unmatched
3964,523,0.10742095,changed,strongly_changed_or_unmatched
1561,602,0.107607454,changed,strongly_changed_or_unmatched
824,3516,0.10761939,changed,strongly_changed_or_unmatched
2986,1075,0.10767281,changed,strongly_changed_or_unmatched
3895,1679,0.10781816,changed,strongly_changed_or_unmatched
3226,1147,0.107959256,changed,strongly_changed_or_unmatched
893,3743,0.108181626,changed,strongly_changed_or_unmatched
2144,1207,0.108244196,changed,strongly_changed_or_unmatched
230,1704,0.10837445,changed,strongly_changed_or_unmatched
847,3693,0.10853263,changed,strongly_changed_or_unmatched
1381,3765,0.10860269,changed,strongly_changed_or_unmatched
1187,3854,0.1089042,changed,strongly_changed_or_unmatched
3112,1194,0.109194495,changed,strongly_changed_or_unmatched
2259,524,0.10924165,changed,strongly_changed_or_unmatched
1023,2538,0.10927078,changed,strongly_changed_or_unmatched
1297,422,0.10931519,changed,strongly_changed_or_unmatched
2498,3276,0.10945624,changed,strongly_changed_or_unmatched
3711,1701,0.10967164,changed,strongly_changed_or_unmatched
500,1538,0.10983318,changed,strongly_changed_or_unmatched
971,842,0.11002065,changed,strongly_changed_or_unmatched
660,3352,0.11015007,changed,strongly_changed_or_unmatched
3388,3987,0.11036175,changed,strongly_changed_or_unmatched
2217,2901,0.110410154,changed,strongly_changed_or_unmatched
103,1817,0.1108166,changed,strongly_changed_or_unmatched
2322,241,0.110844485,changed,strongly_changed_or_unmatched
