pretrained_code_feature,matched_finetuned_code_feature,decoder_cosine_similarity,status,prototype_status
494,1763,0.73674333,shifted,relatively_preserved
1959,2579,0.7163934,shifted,relatively_preserved
433,3090,0.6589416,shifted,relatively_preserved
1287,2671,0.65264726,shifted,relatively_preserved
838,2876,0.6395462,shifted,relatively_preserved
2583,3654,0.6347294,shifted,relatively_preserved
419,2398,0.6230066,shifted,relatively_preserved
841,2314,0.6219281,shifted,relatively_preserved
3502,548,0.62020844,shifted,relatively_preserved
1987,1633,0.6166851,shifted,relatively_preserved
1115,3118,0.601689,shifted,relatively_preserved
3595,2061,0.59363604,shifted,relatively_preserved
2544,2184,0.5917547,shifted,relatively_preserved
1621,813,0.5876188,shifted,relatively_preserved
3330,974,0.58518755,shifted,relatively_preserved
3673,2080,0.5844359,shifted,relatively_preserved
1288,1716,0.58434093,shifted,relatively_preserved
3920,3335,0.58299714,shifted,relatively_preserved
3685,447,0.572484,shifted,relatively_preserved
4080,3220,0.57034385,shifted,relatively_preserved
1516,2131,0.5523629,shifted,relatively_preserved
2177,2880,0.5473135,shifted,relatively_preserved
431,0,0.5464549,shifted,relatively_preserved
1130,3060,0.5410938,shifted,relatively_preserved
252,2799,0.5388731,shifted,relatively_preserved
3047,814,0.5378325,shifted,relatively_preserved
1787,484,0.5368281,shifted,relatively_preserved
161,2263,0.5341755,shifted,relatively_preserved
808,2184,0.5328337,shifted,relatively_preserved
114,1995,0.52923954,shifted,relatively_preserved
