pretrained_code_feature,matched_finetuned_code_feature,decoder_cosine_similarity,status
0,3451,0.1244023,changed
1,2901,0.12782615,changed
2,3635,0.13007994,changed
3,2574,0.12711892,changed
4,183,0.14851278,changed
5,2027,0.1477336,changed
6,877,0.15075733,changed
7,1511,0.124695234,changed
8,901,0.120691806,changed
9,2214,0.15582353,changed
10,2240,0.14080831,changed
11,89,0.11912723,changed
12,3054,0.1525578,changed
13,2091,0.12289937,changed
14,1846,0.1327126,changed
15,625,0.12086295,changed
16,1664,0.1249803,changed
17,3883,0.19238505,changed
18,3839,0.1592758,changed
19,3257,0.13606174,changed
20,611,0.12559229,changed
21,1,0.13663408,changed
22,1177,0.13272673,changed
23,2619,0.1268679,changed
24,2988,0.11762654,changed
25,1706,0.12448175,changed
26,1188,0.121712126,changed
27,2259,0.12699658,changed
28,2215,0.13246995,changed
29,2350,0.1317429,changed
30,906,0.13550389,changed
31,498,0.18068658,changed
32,2619,0.13308024,changed
33,481,0.12601745,changed
34,1512,0.16519107,changed
35,1603,0.13874489,changed
36,2317,0.13307908,changed
37,2566,0.1512588,changed
38,2924,0.12333642,changed
39,1104,0.14783153,changed
40,1621,0.14626229,changed
41,2645,0.23994188,changed
42,2188,0.12595037,changed
43,202,0.13769335,changed
44,3253,0.33469903,changed
45,874,0.116046704,changed
46,1753,0.1487738,changed
47,534,0.17943242,changed
48,3145,0.13557902,changed
49,523,0.11686633,changed
50,186,0.1510989,changed
51,731,0.11709806,changed
52,4081,0.119450346,changed
53,2638,0.12988235,changed
54,262,0.1299486,changed
55,324,0.12014428,changed
56,1323,0.12733248,changed
57,3154,0.12300328,changed
58,2143,0.15488365,changed
59,2738,0.12358516,changed
60,1049,0.33748096,changed
61,875,0.120176,changed
62,2913,0.13425548,changed
63,2964,0.13892554,changed
64,135,0.113193825,changed
65,2410,0.12656002,changed
66,3966,0.12352283,changed
67,3187,0.21623647,changed
68,2117,0.176429,changed
69,2787,0.13557385,changed
70,2095,0.13442168,changed
71,2221,0.11202219,changed
72,3736,0.13516843,changed
73,1427,0.11443819,changed
74,784,0.12099697,changed
75,2937,0.1259983,changed
76,3236,0.14119802,changed
77,1094,0.1477193,changed
78,681,0.12128597,changed
79,544,0.1239801,changed
80,3581,0.15986907,changed
81,3085,0.12875353,changed
82,1059,0.14196572,changed
83,1835,0.12915444,changed
84,2271,0.13190703,changed
85,1968,0.14012577,changed
86,3873,0.14514124,changed
87,2699,0.12649941,changed
88,142,0.14960936,changed
89,620,0.41721565,changed
90,3649,0.13510114,changed
91,239,0.13526621,changed
92,1191,0.12122056,changed
93,3811,0.11175981,changed
94,3236,0.12724079,changed
95,1057,0.13089128,changed
96,3108,0.14530902,changed
97,304,0.12989363,changed
98,1143,0.12638357,changed
99,3960,0.12279504,changed
100,1468,0.12616973,changed
101,1875,0.1503945,changed
102,320,0.17298721,changed
103,1817,0.1108166,changed
104,3113,0.1634211,changed
105,166,0.12796386,changed
106,3938,0.1231136,changed
107,249,0.12624396,changed
108,1108,0.14820153,changed
109,1076,0.11719084,changed
110,3468,0.14229065,changed
111,484,0.1953795,changed
112,2259,0.12900689,changed
113,2891,0.39073986,changed
114,1995,0.52923954,shifted
115,78,0.17707813,changed
116,3397,0.12461224,changed
117,3913,0.13346185,changed
118,3861,0.123756446,changed
119,2361,0.11242029,changed
120,266,0.12817203,changed
121,409,0.15090841,changed
122,4087,0.13053852,changed
123,2470,0.12794346,changed
124,1809,0.117776275,changed
125,1237,0.12447874,changed
126,3839,0.19791117,changed
127,2856,0.115361035,changed
128,21,0.13504268,changed
129,952,0.12990236,changed
130,1182,0.37405515,changed
131,2223,0.16109651,changed
132,2500,0.11399093,changed
133,1859,0.12919089,changed
134,573,0.12873816,changed
135,1789,0.14947478,changed
136,40,0.13382027,changed
137,3358,0.12953427,changed
138,379,0.132935,changed
139,4089,0.13312028,changed
140,208,0.12670022,changed
141,2361,0.3068884,changed
142,2283,0.12152563,changed
143,2857,0.13530838,changed
144,547,0.13040422,changed
145,1732,0.11880708,changed
146,292,0.13410555,changed
147,3453,0.12442537,changed
148,1789,0.2236493,changed
149,1394,0.13275652,changed
150,453,0.35241178,changed
151,1606,0.1286817,changed
152,3663,0.1173411,changed
153,1854,0.15872748,changed
154,2457,0.128613,changed
155,3881,0.12116015,changed
156,1858,0.13203734,changed
157,293,0.13464563,changed
158,4018,0.35751963,changed
159,3475,0.12131833,changed
160,2155,0.123575084,changed
161,2263,0.5341755,shifted
162,3338,0.11699582,changed
163,3126,0.13530952,changed
164,3496,0.13169655,changed
165,1074,0.13772964,changed
166,2288,0.14510661,changed
167,2138,0.1400454,changed
168,447,0.13336933,changed
169,2952,0.123900555,changed
170,3284,0.12537052,changed
171,248,0.14089555,changed
172,2841,0.118581854,changed
173,3822,0.12712495,changed
174,2001,0.12757163,changed
175,4093,0.13502766,changed
176,638,0.12462938,changed
177,1148,0.13642736,changed
178,2188,0.15073591,changed
179,1388,0.13509944,changed
180,1789,0.27561647,changed
181,160,0.13303156,changed
182,32,0.115521476,changed
183,45,0.121301815,changed
184,3380,0.114063665,changed
185,1252,0.13924906,changed
186,3048,0.15859279,changed
187,484,0.310983,changed
